Protected Heritage Area,Species Common Name,Activity Type,Total Animals 2010,Total Animals 2011,Total Animals 2012,Total Animals 2013,Total Animals 2014,Total Animals 2015,Total Animals 2016,Total Animals 2017,Total Animals 2018,Total Animals 2019,Total Animals 2020,Total Animals 2021
Banff National Park of Canada,American Robin,Driving,,,,,,,,1,,,,
Banff National Park of Canada,Beaver,Driving,,,1,,,,3,1,,2,,
Banff National Park of Canada,Bighorn Sheep,Driving,1,1,1,,,,1,1,1,,,1
Banff National Park of Canada,Bighorn Sheep,Railway,5,,,,,,1,1,,3,5,3
Banff National Park of Canada,Black Bear,Driving,4,2,5,2,3,1,2,4,2,3,3,2
Banff National Park of Canada,Black Bear,Railway,,1,2,3,1,1,4,1,2,4,3,3
Banff National Park of Canada,Boreal Owl,Driving,,,,1,,,,,,,,
Banff National Park of Canada,Canada Goose,Driving,,1,,,,6,2,1,,2,,
Banff National Park of Canada,Chipping Sparrow,Driving,,,,,,,,,,1,,
Banff National Park of Canada,Columbian Ground Squirrel,Driving,,,,,,,,1,1,,,1
Banff National Park of Canada,Common Gartersnake,Driving,,1,,,,,,,,,,
Banff National Park of Canada,Cougar,Railway,,,1,,,,,,,,,2
Banff National Park of Canada,Coyote,Driving,3,9,7,7,2,5,10,2,5,7,2,2
Banff National Park of Canada,Coyote,Railway,1,1,,1,1,,,,2,2,1,3
Banff National Park of Canada,Crow,Driving,,,,,,,,,,1,,
Banff National Park of Canada,Domestic Cat,Driving,,,,,,,,,,1,,
Banff National Park of Canada,Elk,Driving,2,1,2,1,3,3,3,2,2,3,1,1
Banff National Park of Canada,Elk,Railway,20,15,14,15,12,14,15,7,11,6,3,8
Banff National Park of Canada,Golden Eagle,Railway,,,,1,,,,,,,,
Banff National Park of Canada,Gopher snake,Driving,,,,,,,,1,,,,
Banff National Park of Canada,Great Grey Owl,Driving,,,,1,,,,1,,,1,
Banff National Park of Canada,Great Horned Owl,Driving,,1,,1,,1,3,2,,2,,
Banff National Park of Canada,Grizzly Bear,Driving,,2,,,1,,,,,2,,1
Banff National Park of Canada,Grizzly Bear,Railway,4,1,2,,,,,,,,1,2
Banff National Park of Canada,Hoary Marmot,Driving,,,,,,,,,,,,1
Banff National Park of Canada,Long-eared Owl,Driving,,,1,1,,,,,,,,
Banff National Park of Canada,Long-toed Salamander,Driving,,,,,,,,,1,2,,
Banff National Park of Canada,Lynx,Driving,,,,,,,,,,,,1
Banff National Park of Canada,Lynx,Railway,1,,,,,,,,,,,
Banff National Park of Canada,Magpie,Driving,,1,,,,,,,,,,2
Banff National Park of Canada,Mallard,Driving,,,5,,,,2,,,,,
Banff National Park of Canada,Marten,Driving,1,2,2,5,3,5,1,,2,6,5,2
Banff National Park of Canada,Moose,Driving,1,,,2,,1,,1,1,1,,2
Banff National Park of Canada,Moose,Railway,2,2,5,,2,3,1,2,2,2,3,2
Banff National Park of Canada,Mule Deer,Driving,7,8,8,5,7,5,6,8,8,6,6,6
Banff National Park of Canada,Mule Deer,Railway,6,,13,1,2,4,2,5,3,2,3,8
Banff National Park of Canada,Muskrat,Driving,,,,,,,,,,,1,
Banff National Park of Canada,Northern Hawk Owl,Driving,,,1,1,,,,,,,,
Banff National Park of Canada,Northern Saw-whet Owl,Driving,,1,1,,,,,,,1,1,
Banff National Park of Canada,Northern Saw-whet Owl,Railway,,,,,,,,,1,,,
Banff National Park of Canada,Osprey,Driving,,,1,2,,,,,,,,
Banff National Park of Canada,Osprey,Railway,,,,1,,,,,,,,
Banff National Park of Canada,Porcupine,Driving,2,2,7,2,2,1,2,3,2,2,8,1
Banff National Park of Canada,Raven,Driving,,1,,1,,1,2,,2,,,2
Banff National Park of Canada,Red Fox,Driving,,2,1,2,4,2,2,3,3,2,4,2
Banff National Park of Canada,Red Squirrel,Driving,,1,,,,1,,,1,,,3
Banff National Park of Canada,Red-necked Grebe,Driving,,1,,,,,,,,,,
Banff National Park of Canada,Red-tailed Hawk,Driving,,1,,1,1,2,,,,1,,
Banff National Park of Canada,River Otter,Driving,,,,,,,,1,,,,
Banff National Park of Canada,Rock Pigeon,Driving,2,,,1,,,,,,,,
Banff National Park of Canada,Ruffed Grouse,Driving,,,1,,,,,,,,,
Banff National Park of Canada,Short-eared Owl,Driving,,,,,,,,,,,,1
Banff National Park of Canada,Skunk,Driving,1,,,,,,,,,,,1
Banff National Park of Canada,Skunk,Railway,,,,,,,,,,1,,
Banff National Park of Canada,Snow Goose,Driving,,,,,,,,,1,,,
Banff National Park of Canada,Snowshoe Hare,Driving,1,,,3,1,1,,,1,1,2,1
Banff National Park of Canada,Unknown,Driving,,,1,1,,,,,,,,
Banff National Park of Canada,Unknown bat,Driving,,,,,,,,,,,1,
Banff National Park of Canada,Unknown bird,Driving,,,,,,,,,,,1,
Banff National Park of Canada,Unknown deer,Driving,1,2,,,1,,1,,1,,2,
Banff National Park of Canada,Unknown deer,Railway,,,,1,,,1,,1,,1,2
Banff National Park of Canada,Unknown gull,Driving,,,,,,,,,2,,,1
Banff National Park of Canada,Unknown raptor,Driving,,,,,,,,,,2,,
Banff National Park of Canada,Unknown rodent,Driving,,,,,,,,,1,,,
Banff National Park of Canada,Unknown ungulate,Driving,,,,,,,,,,,1,
Banff National Park of Canada,Western Toad,Driving,,,,,,,,,,,6,
Banff National Park of Canada,White-tailed Deer,Driving,10,8,8,3,1,4,4,6,6,8,4,6
Banff National Park of Canada,White-tailed Deer,Railway,6,17,11,4,8,12,14,8,8,6,10,5
Banff National Park of Canada,Wilson's Snipe,Driving,,,,,,,,,,,1,
Banff National Park of Canada,Wolf,Driving,2,1,4,1,,1,,1,,2,3,1
Banff National Park of Canada,Wolf,Railway,,3,1,1,,,4,,,,,1
Bruce Peninsula National Park of Canada,Black Bear,Driving,3,,,,,,,,,,,
Bruce Peninsula National Park of Canada,Massasauga,Driving,10,2,,,,5,6,,,,,
Bruce Peninsula National Park of Canada,Raccoon,Driving,,,,,,,1,,,,,
Bruce Peninsula National Park of Canada,Snowshoe Hare,Driving,,,,1,,,,,,,,
Elk Island National Park of Canada,American Robin,Driving,,,,,,,,,,1,,
Elk Island National Park of Canada,Beaver,Driving,,,,,,,,1,,,,3
Elk Island National Park of Canada,Black Bear,Driving,,,,,1,,,,,,,
Elk Island National Park of Canada,Canada Goose,Driving,,,,,,,1,,,2,1,1
Elk Island National Park of Canada,Coyote,Driving,,,,1,,2,,,,1,2,
Elk Island National Park of Canada,Elk,Driving,,,1,,,,,,,,,
Elk Island National Park of Canada,Fisher,Driving,1,,,,,,,,,,,1
Elk Island National Park of Canada,Franklin's Gull,Driving,,,,,,,,,,1,,
Elk Island National Park of Canada,Moose,Driving,,,1,,1,,,,,,,1
Elk Island National Park of Canada,Mule Deer,Driving,,,,,,,,1,,,,
Elk Island National Park of Canada,Muskrat,Driving,,,,,,,,1,,1,,
Elk Island National Park of Canada,Plains Bison,Driving,2,,3,,,,2,1,,1,1,3
Elk Island National Park of Canada,Plains Gartersnake,Driving,,,,,,,,,,,,12
Elk Island National Park of Canada,Porcupine,Driving,,,,,,,,1,,,,
Elk Island National Park of Canada,Raven,Driving,,,,,,,,,,1,,
Elk Island National Park of Canada,Red Fox,Driving,,,,,,,,,,1,,
Elk Island National Park of Canada,Red Squirrel,Driving,,,,,,,,,1,,,
Elk Island National Park of Canada,Red-tailed Hawk,Driving,,,,,,1,,,,,,
Elk Island National Park of Canada,Ruffed Grouse,Driving,,1,,,,,,,,2,,
Elk Island National Park of Canada,Sharp-shinned Hawk,Driving,,,,,,,,,,1,,
Elk Island National Park of Canada,Snowshoe Hare,Driving,,,,,1,,1,,,,,3
Elk Island National Park of Canada,Tiger Salamander,Driving,,,,,,,,,,,,10
Elk Island National Park of Canada,Unknown,Driving,1,,,,,,,,,,,
Elk Island National Park of Canada,Unknown deer,Driving,4,6,2,,,3,2,,,,,2
Elk Island National Park of Canada,Unknown Frog or Toad,Driving,,,,,,,,,,,,2
Elk Island National Park of Canada,Unknown rodent,Driving,,,,,,,,,,1,,
Elk Island National Park of Canada,Western Toad,Driving,,,,,,,,,,,,39
Elk Island National Park of Canada,White-tailed Deer,Driving,,,,,,,3,,,,,1
Elk Island National Park of Canada,Wood Bison,Driving,,,1,,,,,,,,,
Elk Island National Park of Canada,Wood Frog,Driving,,,,,,,,,,,,2
Forillon National Park of Canada,Black Bear,Driving,,,,,,,,1,2,,,
Forillon National Park of Canada,Coyote,Driving,,,,,,,,1,,,,
Forillon National Park of Canada,Moose,Driving,,,,1,1,1,1,,,,,1
Forillon National Park of Canada,Red Fox,Driving,,,,,,,,1,,,,
Forillon National Park of Canada,Woodchuck,Driving,,,,,,,,,1,,,
Fundy National Park of Canada,Barred Owl,Driving,,,,,,,,,,,,1
Fundy National Park of Canada,Cedar Waxwing,Driving,,,,,,,,,,5,,
Fundy National Park of Canada,Coyote,Driving,,,,1,,,,,,1,,
Fundy National Park of Canada,Moose,Driving,,2,,1,,,,,,1,,1
Fundy National Park of Canada,Red Fox,Driving,,,,,,,,,,1,,1
Fundy National Park of Canada,Snowshoe Hare,Driving,,,,,,,1,,,,,1
Fundy National Park of Canada,White-tailed Deer,Driving,,,,1,1,,,,,,1,1
Fundy National Park of Canada,Woodchuck,Driving,,,,,,,2,,,2,,
Georgian Bay Islands National Park of Canada,Eastern Foxsnake,Driving,,,,,,,,,,,1,
Georgian Bay Islands National Park of Canada,Massasauga,Driving,,,,,,1,,,,,,
Glacier National Park of Canada,Barred Owl,Driving,,,,,,,2,1,1,,1,
Glacier National Park of Canada,Black Bear,Driving,,3,2,,3,2,1,3,,4,2,
Glacier National Park of Canada,Black Bear,Railway,4,2,1,,2,4,6,,1,,2,
Glacier National Park of Canada,Columbian Ground Squirrel,Driving,,,,,,,,,,,,1
Glacier National Park of Canada,Common Redpoll,Driving,,,,,,300,,,,,,
Glacier National Park of Canada,Coyote,Driving,,,,1,,,,,2,1,,4
Glacier National Park of Canada,Crow,Driving,,,,,,,,,,,1,1
Glacier National Park of Canada,Elk,Driving,,,,,,1,,,,,,
Glacier National Park of Canada,Great Horned Owl,Driving,,,,,1,,,,,,,
Glacier National Park of Canada,Grizzly Bear,Driving,,,,,,,,1,,,,1
Glacier National Park of Canada,Hoary Marmot,Driving,,1,,,,,,1,,,1,
Glacier National Park of Canada,Marten,Driving,,,,,,3,,,,,5,
Glacier National Park of Canada,Moose,Driving,1,,1,,,3,3,2,,,2,1
Glacier National Park of Canada,Moose,Railway,2,,,,,,1,,1,,,1
Glacier National Park of Canada,Mountain Goat,Driving,1,,1,3,4,10,5,3,4,6,3,2
Glacier National Park of Canada,Mountain Goat,Railway,,,,,1,,,,,,,
Glacier National Park of Canada,Mule Deer,Driving,1,,,2,,1,1,1,,2,1,1
Glacier National Park of Canada,Northern Saw-whet Owl,Driving,,,,,,,,,1,,,
Glacier National Park of Canada,Pine Siskin,Driving,,,,,,50,,,,,,
Glacier National Park of Canada,Porcupine,Driving,3,3,1,6,9,7,12,11,8,4,9,8
Glacier National Park of Canada,Raven,Driving,,1,,,1,1,,,,,3,
Glacier National Park of Canada,Red Crossbill,Driving,,,,,,1275,,,,,,
Glacier National Park of Canada,Red Fox,Driving,,,,,,1,,,,,,
Glacier National Park of Canada,Red Squirrel,Driving,,,,,,,,1,,,,
Glacier National Park of Canada,Red-tailed Hawk,Driving,,,,1,,,,,,,,
Glacier National Park of Canada,Skunk,Driving,,,,,,1,1,,,,,2
Glacier National Park of Canada,Snowshoe Hare,Driving,,,,,1,,1,3,1,,,1
Glacier National Park of Canada,Unknown,Driving,1,,,,,,,,,,,
Glacier National Park of Canada,Unknown bird,Driving,,,,,,,,,1,,,1
Glacier National Park of Canada,Unknown deer,Driving,1,,,,,,,,,1,,
Glacier National Park of Canada,Unknown mustelid,Driving,,,,,,,,,,1,,
Glacier National Park of Canada,Western Toad,Driving,,,,246,,33,,,,,,
Glacier National Park of Canada,White-tailed Deer,Driving,1,1,1,,1,,3,1,2,,1,
Glacier National Park of Canada,White-winged Crossbill,Driving,,,,,,60,,,,,,
Glacier National Park of Canada,Wolverine,Driving,,,,,,1,,,,,,
Grasslands National Park of Canada,Badger,Driving,,,,,,,,1,,,,
Grasslands National Park of Canada,Black-tailed prairie dog,Driving,,,4,,1,3,14,16,7,6,8,
Grasslands National Park of Canada,Bobcat,Driving,,,,,,,,,,1,,
Grasslands National Park of Canada,Bullsnake,Driving,,,,,,,2,,1,,,
Grasslands National Park of Canada,Burrowing Owl,Driving,,,,1,,1,1,,,,,
Grasslands National Park of Canada,Coyote,Driving,,,,,1,,,2,,,,
Grasslands National Park of Canada,Crow,Driving,,,,,,,,,1,,,
Grasslands National Park of Canada,Jackrabbit,Driving,,,,,1,,,1,,,,
Grasslands National Park of Canada,Mule Deer,Driving,,,,,1,1,,,,,,
Grasslands National Park of Canada,Plains Gartersnake,Driving,,,,11,5,,8,1,2,2,,
Grasslands National Park of Canada,Porcupine,Driving,,,,,3,,,2,,,,
Grasslands National Park of Canada,Prairie Rattlesnake,Driving,,,2,,,2,1,3,2,2,1,
Grasslands National Park of Canada,Richardson's Ground Squirrel,Driving,,,,,,3,5,19,7,5,6,
Grasslands National Park of Canada,Ring-necked Pheasant,Driving,,,,,,,,2,,,,
Grasslands National Park of Canada,Snowshoe Hare,Driving,,,,1,,,,,,,,
Grasslands National Park of Canada,Thirteen-lined Ground Squirrel,Driving,,,,,,,,,,,1,
Grasslands National Park of Canada,Unknown,Driving,,,,,,,2,,,,,
Grasslands National Park of Canada,Unknown bird,Driving,,,1,,,,1,,2,,,
Grasslands National Park of Canada,Unknown grouse,Driving,,,,,,,,1,,,,
Grasslands National Park of Canada,Unknown snake,Driving,,,1,,,,,,,,,
Grasslands National Park of Canada,White-tailed Deer,Driving,,,,,,,,1,1,,,
Grasslands National Park of Canada,Yellow-bellied Racer,Driving,,,1,3,,,1,,,,,
Jasper National Park of Canada,Beaver,Driving,,,1,1,,,3,1,,2,2,
Jasper National Park of Canada,Bighorn Sheep,Driving,14,21,15,17,19,6,6,8,9,7,9,6
Jasper National Park of Canada,Bighorn Sheep,Railway,4,10,8,9,2,7,4,9,5,5,3,7
Jasper National Park of Canada,Black Bear,Driving,1,3,2,1,9,3,2,9,10,3,2,4
Jasper National Park of Canada,Black Bear,Railway,,2,2,2,12,4,4,4,6,7,4,4
Jasper National Park of Canada,Boreal Owl,Driving,,,,,,,,,1,,,
Jasper National Park of Canada,Canada Goose,Driving,,,,,1,,,,1,,,1
Jasper National Park of Canada,Columbian Ground Squirrel,Driving,,,,,,,,,,2,1,1
Jasper National Park of Canada,Common Loon,Driving,,,,,,,,,,,1,
Jasper National Park of Canada,Cougar,Driving,,2,,,,,1,1,,,,
Jasper National Park of Canada,Cougar,Railway,,,,,,2,,1,,,,
Jasper National Park of Canada,Coyote,Driving,11,13,4,3,10,6,2,3,6,8,3,2
Jasper National Park of Canada,Coyote,Railway,,,,,1,,,,,,1,
Jasper National Park of Canada,Crow,Driving,,,,,,,,,,1,,
Jasper National Park of Canada,Crow,Railway,,,,,,,1,,,1,,
Jasper National Park of Canada,Domestic Cat,Driving,,,,1,,,,,,1,,
Jasper National Park of Canada,Domestic Dog,Driving,,,,,,,,,,,,1
Jasper National Park of Canada,Elk,Driving,18,17,15,14,11,17,12,15,19,17,11,13
Jasper National Park of Canada,Elk,Railway,3,10,12,7,10,7,14,8,2,5,2,4
Jasper National Park of Canada,Golden Eagle,Railway,,,,,1,,,,,,,
Jasper National Park of Canada,Great Grey Owl,Driving,,,1,,1,2,,,,,,
Jasper National Park of Canada,Great Horned Owl,Driving,,,1,3,2,,1,1,2,1,,2
Jasper National Park of Canada,Great Horned Owl,Railway,,,,,,,1,,,,,
Jasper National Park of Canada,Grizzly Bear,Driving,,,,1,,,,,,,,1
Jasper National Park of Canada,Grizzly Bear,Railway,,,,,,,,,1,,,2
Jasper National Park of Canada,Hoary Marmot,Driving,,,,,,,,,,,,1
Jasper National Park of Canada,Little Brown Myotis,Driving,,,,,,,,,,,1,
Jasper National Park of Canada,Lynx,Driving,,1,,1,,,1,1,,2,,
Jasper National Park of Canada,Lynx,Railway,,,,1,,1,,,,,,
Jasper National Park of Canada,Mallard,Driving,,1,,,4,,1,,,,,
Jasper National Park of Canada,Marten,Driving,,,1,1,3,1,1,,,1,1,1
Jasper National Park of Canada,Merlin,Driving,,,,,,,,1,,1,,1
Jasper National Park of Canada,Moose,Driving,2,2,3,4,3,4,1,1,2,5,7,5
Jasper National Park of Canada,Moose,Railway,1,1,1,,,,,1,2,1,1,
Jasper National Park of Canada,Mule Deer,Driving,14,20,20,4,9,10,5,8,6,6,6,16
Jasper National Park of Canada,Mule Deer,Railway,3,3,5,1,3,4,1,3,4,2,2,3
Jasper National Park of Canada,Muskrat,Driving,,,,,1,,,,,,1,
Jasper National Park of Canada,Northern Flicker,Driving,,,,,,,,1,,,,
Jasper National Park of Canada,Northern Harrier,Driving,,,1,,,,,,,,,
Jasper National Park of Canada,Northern Saw-whet Owl,Driving,,,,,,,,,1,,,
Jasper National Park of Canada,Osprey,Driving,,,,,,,,,1,,,
Jasper National Park of Canada,Porcupine,Driving,,,,,,2,,1,,,,5
Jasper National Park of Canada,Raccoon,Railway,,1,,,,,,,,,,
Jasper National Park of Canada,Raven,Driving,,,,1,,,,,,1,,1
Jasper National Park of Canada,Red Fox,Driving,3,,2,2,6,2,1,2,1,2,1,3
Jasper National Park of Canada,Red Fox,Railway,,,,,,,2,,,,,
Jasper National Park of Canada,River Otter,Driving,,,,2,,1,1,,,1,,
Jasper National Park of Canada,Ruffed Grouse,Driving,,1,,,,,,,2,1,,1
Jasper National Park of Canada,Short-eared Owl,Driving,,,,1,,,,,,,,
Jasper National Park of Canada,Skunk,Driving,1,,,,5,1,2,,,1,,1
Jasper National Park of Canada,Snowshoe Hare,Driving,,,,1,,,,1,1,1,,1
Jasper National Park of Canada,Spruce Grouse,Driving,,,,,,,,,,,,1
